PersonId;Givenname;Lastname;WorkMobile;WorkPhone;Title;OrgId;PrimaryEMailAddress;ManagerId;ManagerCode
a1b2c3d4-0001-4000-8000-000000000001;Erik;Andersson;0701234567;060-100001;Handläggare;41;erik.andersson@sundsvall.se;a1b2c3d4-0010-4000-8000-000000000010;C_
a1b2c3d4-0002-4000-8000-000000000002;Anna;Lindström;0702345678;060-100002;Inspektör;41;anna.lindstrom@sundsvall.se;a1b2c3d4-0010-4000-8000-000000000010;"  "
a1b2c3d4-0003-4000-8000-000000000003;Johan;Björk;0703456789;060-100003;Utredare;41;johan.bjork@sundsvall.se;a1b2c3d4-0010-4000-8000-000000000010;"  "
a1b2c3d4-0004-4000-8000-000000000004;Maria;Karlsson;0704567890;060-100004;Handläggare;42;maria.karlsson@sundsvall.se;a1b2c3d4-0011-4000-8000-000000000011;"  "
a1b2c3d4-0005-4000-8000-000000000005;Lars;Eriksson;0705678901;060-100005;Inspektör;42;lars.eriksson@sundsvall.se;a1b2c3d4-0011-4000-8000-000000000011;"  "
a1b2c3d4-0006-4000-8000-000000000006;Sara;Nilsson;0706789012;060-100006;Utredare;42;sara.nilsson@sundsvall.se;a1b2c3d4-0011-4000-8000-000000000011;"  "
a1b2c3d4-0007-4000-8000-000000000007;Peter;Svensson;0707890123;060-100007;Handläggare;43;peter.svensson@sundsvall.se;a1b2c3d4-0012-4000-8000-000000000012;"  "
a1b2c3d4-0008-4000-8000-000000000008;Karin;Johansson;0708901234;060-100008;Inspektör;43;karin.johansson@sundsvall.se;a1b2c3d4-0012-4000-8000-000000000012;"  "
a1b2c3d4-0009-4000-8000-000000000009;Magnus;Persson;NULL;060-100009;Utredare;43;magnus.persson@sundsvall.se;a1b2c3d4-0012-4000-8000-000000000012;"  "
a1b2c3d4-0010-4000-8000-000000000010;Lena;Gustafsson;0710123456;060-100010;Chef;41;lena.gustafsson@sundsvall.se;NULL;A_
a1b2c3d4-0011-4000-8000-000000000011;Thomas;Magnusson;0711234567;060-100011;Chef;42;thomas.magnusson@sundsvall.se;NULL;A_
a1b2c3d4-0012-4000-8000-000000000012;Helena;Olsson;0712345678;060-100012;Chef;43;helena.olsson@sundsvall.se;NULL;A_
